,0
ALL,0.1499999992414809
CANN,0.1499999987189827
CARE,4.132839e-10
CL,2.3879878e-09
COMM,9.50883e-11
CORP,0.0446956230914181
DEF,0.0544317491401966
INCO,0.0535608899146905
KLD,3.19754192e-08
LOAN,0.1499999981543636
MIN,0.1499999987687969
MSCI,0.0870834770498227
MUNI,0.0319647952038351
PURE,1.166504e-10
TECH,2.704806e-10
TIPS,0.0829682862334857
TR,4.0214544e-09
TRST,6.517054e-10
USA,0.032823455525154
YLD,0.0124716684195099
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.000%_Feb_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.500%_Nov_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.625%_Feb_15,",1.761022e-10
"TENOR_DGS10_United_States_Treasury_10-Year_Bond_2.250%_Aug_15,",8.904222e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.375%_Aug_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Nov_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_2.750%_Feb_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.500%_Aug_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Nov_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Feb_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Aug_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.250%_May_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.375%_Feb_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_Feb_15,",1.761022e-10
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.750%_Feb_15,",1.761022e-10
