,0
ALL,0.0761512460839489
CANN,0.1308645133184203
CARE,7.73988e-11
CL,0.0006849953940246
COMM,1.65606e-11
CORP,0.0441966090696993
DEF,0.0198318506733761
INCO,0.1072838056905311
KLD,3.9545619e-09
LOAN,0.0726397303172275
MIN,0.1499999990740006
MSCI,0.1185311497989534
MUNI,0.0221644964319906
PURE,3.08313e-11
TECH,0.1471778417702332
TIPS,0.0609196287824447
TR,0.0114565134819148
TRST,5.24805e-11
USA,0.0194932332873332
YLD,0.0186043808842064
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.000%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.500%_Nov_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.625%_Feb_15,",2.27358e-11
"TENOR_DGS10_United_States_Treasury_10-Year_Bond_2.250%_Aug_15,",9.57203e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.375%_Aug_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Nov_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_2.750%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.500%_Aug_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Nov_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.250%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.125%_Aug_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_6.250%_May_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_5.375%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.750%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.375%_Feb_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_May_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.250%_May_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.500%_Aug_15,",2.27358e-11
"TENOR_DGS30_United_States_Treasury_30-Year_Bond_4.375%_Nov_15,",2.27358e-11
